edge_id,source_observation_id,target_candidate_id,relation,source_locator
citation-edge:sha256:d35f073d6409876352cd0eeda691ecaf9337466eef94760224e417dc477a4f40,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:aac932638fa327a76c088fc66dc0ba6801e71fdb02579510b3639f163e9157c9,cites,"References [11], article pp. 26-28"
citation-edge:sha256:0d46e11dccb901784846580b5042a7bc105acc6d53d8ee1a44dfabfa2d384adb,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:d0385dd0ac312604c6bbc414519d0e36e023ad9f659ee1ee138d6603eb69e8ee,cites,"References [12], article pp. 26-28"
citation-edge:sha256:fee137fcd2b3531e8421ca43d0a5d2101c13feb49ce840d97c41239b235052b6,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:605db7548fd046a583a900bdce578506f7bde0aaed5c3f2da4dc56c5367fa158,cites,"References [13], article pp. 26-28"
citation-edge:sha256:1f45256e3baad472739bf51b81728323c9e38ec88b8d05083dd3d8c77c39f2fd,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:3a80287df8a0fb3f00c32c389cc649fded71c2d074c3bd9a4269cb877d54ab12,cites,"References [14], article pp. 26-28"
citation-edge:sha256:6c0a5a392568db39f6444f6c8cad9033c6ca44aecc04f178c0f8c3d2234163b8,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:d11553d8d7eb5bc757bf2eb9fc2483f73401df62409686cccf9a19c95dbf5c82,cites,"References [15], article pp. 26-28"
citation-edge:sha256:121af6c1ac29a01ee80f6b6f3667fe1116b668b9b0e8cc5ef99c1507d6f089f0,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:8d48a8075f5edee46d1ec58373900ac8408de97f14e3069053f0319e2d28ba32,cites,"References [16], article pp. 26-28"
citation-edge:sha256:ee28f0ceaf0eee60375095e8d1adad635b2fc09cbffbd9b0e55893c83c478f5e,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:d1390a3add224cfeb12411e9e5d09d3408c73fe44bb79f1144219b764689e092,cites,"References [17], article pp. 26-28"
citation-edge:sha256:6941ae6b1fc5da9c2681476c48b7176b263864c5a8b8de13a8cd430684cdc2f1,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:32d0a29cbc93a00e987e5e3229355019106aa1fc8cb58eb0f6d459406a035b9c,cites,"References [18], article pp. 26-28"
citation-edge:sha256:d63edbf1dc57c0b0db8c746360e801ce9047c5c5dfa082c26ffce8f0dca9d8e4,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:282db2e2d2e0cd67d86401dcf7d0d973602b32028269d673a30cfc7fd640dc44,cites,"References [19], article pp. 26-28"
citation-edge:sha256:3349a1f513425fb62af28414a620bbfd0797ceb72b0d9f149dac43acdd6ed528,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:7e6f759ea63a1d65b53f9480d6a244b85cf4e94cae62c4798c7088b31fa29d6a,cites,"References [20], article pp. 26-28"
citation-edge:sha256:8aaf071962b725bd11cf3fa7ba314aaf3750c80b7cc6e853b1c285fa320c98ef,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:994c61b3c9ea82c95d227c83590db7cc0509ef84d3e3536cf7e72c1a20a1be27,cites,"References [21], article pp. 26-28"
citation-edge:sha256:c5f802103f38d227f138ffd3d2783412a804580b1cb905840952effc7b962605,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:eeb1c05e2caef8fecaf7ced8e9147e97cece573a049a156994e3a99a1d1a3f30,cites,"References [22], article pp. 26-28"
citation-edge:sha256:f497ea263d1cbd2cba76d79ef98c81d0bd751416a9b491a4a4097479b3b5fcd0,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:ddaa056d46c81cfa9c1782c3a016c7830d0a1637b92f2c9c975cb37b3fc08612,cites,"References [23], article pp. 26-28"
citation-edge:sha256:67526371ec101df62b86230994187ec91e5a96689153def7b00cba202cf49fc9,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:7bd9a9469a47c0648f0061cb3434e53e7c16025fcf62eac6d2fbefd77ef70b55,cites,"References [24], article pp. 26-28"
citation-edge:sha256:c77d692256a7cba7dd714354cd8884b1e21d97fc499aac934d02c6880856828d,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:a17abc1caa52fe73b4be03efe2874481c9400443610daf60a3627299aceaacb2,cites,"References [25], article pp. 26-28"
citation-edge:sha256:7cea3de7acc45eff250b0b85a168e6a7864119c433c4e9ed9f628b8b370f435e,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:d3533d17ff49324355e635072f3eebcbcad9805e57caf96942732041e5b3bf84,cites,"References [26], article pp. 26-28"
citation-edge:sha256:090150b325d5f12b742a4e7eb14f36392827107a3447c9e1c65cb7db24488458,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:78a77823efd683532dd4aca9f25f232ac40b9f2576d21f2141c3b155842f1693,cites,"References [27], article pp. 26-28"
citation-edge:sha256:291ae2ad42074cab1c8ac7a7977646131b6befd423e4aae0e103fadbe0cd1893,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:455eddf03cacbf36eaaf16bdf07663e58e715edf7a0747b028956153f661f126,cites,"References [28], article pp. 26-28"
citation-edge:sha256:bdca4b400c0f3102e9c62e8c5222a70afa98cc4305c778ecdd71854c69871049,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:11e846f3f46d757cce56abb309f071fb299e85fe7d3f006201ac8d120328770d,cites,"References [29], article pp. 26-28"
citation-edge:sha256:d37b9364099b711af5e8837525d73593da10c0dc09b3fd608537f3831d638ebf,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:6ced0728f8e6f91cb2843566e1cf911d68bba9a559fb048b8b7efcdb68e429d1,cites,"References [30], article pp. 26-28"
citation-edge:sha256:2c0088943558b190e5b608b26b33bd0ed2e228cc2bc26b4ca57823cf13608554,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:3c0273f19e4225fec6c6825968d1ee7da382a0b50e30cf6fee25e64a81c46042,cites,"References [31], article pp. 26-28"
citation-edge:sha256:b66700247fa2b53e76e1c7c22b2734f44c3fac829f9bc7536fe300ff1c9600b7,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:b30971be6c2c78479019e2b9fd4dd81b4a0e823723641ee7d242616acd54643c,cites,"References [32], article pp. 26-28"
citation-edge:sha256:139cdb398baa822e6b7316b871f4086a4d7bd0ce8aa6bc0636a18eddc4ad44e1,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:f508186d01bccefea95559334488e898802c5ac30f6e2cbbb70a3502295704f0,cites,"References [33], article pp. 26-28"
citation-edge:sha256:6a8d31a6417d1dcb56cbcf73635bd4f069f51a7aaa93c04fb8f5d003b34d0a0d,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:999390ef615c79a9b089ce09b7d434ba9f6eb9db801c067b68c5337c8a71a199,cites,"References [34], article pp. 26-28"
